Page path,Session default channel group,Key events
/insights/global-analysis/export-managers-index/,Direct,66
/brand--design-guidelines/logotype/,Direct,64
/insights/reports/whitepapers--guides/the-swedish-battery-industry-overview/,Paid Search,64
/insights/global-analysis/global-economic-outlook/,Email,63
/guider/exportguiden/tullar-och-dokument/export-till-lander-utanfor-eu/dokumentkrav,Organic Search,63
/sv/insikter/globala-analyser/exportchefsindex/,Organic Social,62
/industries/digital-technologies/,Organic Search,61
/insights/reports/whitepapers--guides/swedens-nuclear-future--mapping-the-value-chain/,Direct,61
/sv/insikter/rapporter/whitepapers--guides/usa-fda-handbok/,Organic Search,61
/sv/expandera-globalt/sme/,Organic Search,60
/sv/insikter/rapporter/whitepapers--guides/karnkraftens-framtid-i-sverige---en-kartlaggning-av-vardekedjan/,Organic Search,60
/insights/reports/whitepapers--guides/the-swedish-battery-industry-overview/,Organic Search,59
/sv/insikter/globala-analyser/exportchefsindex/,Direct,58
/sv/insikter/globala-analyser/globala-ekonomiska-utsikter/,Direct,58
/contact/offices-in-sweden/,Organic Search,57
/guider/frihandelsguiden,Direct,54
/contact/thank-you-page-makets-form/,Organic Search,52
/contact/contact-business-sweden/,Organic Search,51
/insights/reports/executive-global-insights/uncovering-mining-titans/,Organic Social,51
/about-us/operation-and-assignments/,Organic Search,50
/sv/kontakt/kontor-i-sverige/,Direct,48
/sv/om-oss/hallbarhet/,Organic Search,48
/events/joinswedensummit2025/seminars,Organic Search,45
/industries/energy/,Organic Search,45
/sv/kontakt/kontakta-business-sweden/,Organic Search,45
/sv/forms/kontaktformular/,Referral,44
/events/joinswedensummit2025/participants,Direct,44
/industries/advanced-manufacturing/,Organic Search,44
/brand--design-guidelines/logotype/,Referral,44
/events/dbaf1c034d,Direct,43
/insights/cop/the-climate-matchmaker-for-global-action/,Referral,43
/insights/reports/whitepapers--guides/swedens-nuclear-future--mapping-the-value-chain/,Organic Social,42
/expand-globally/geopolitical-advisory/geo-insights/,Direct,41
/forms/egi-reports-signup/,Paid Search,41
/guider/skeppningshandboken,Organic Search,41
/insights/cop/the-climate-matchmaker-for-global-action/,Paid Search,41
/insights/global-analysis/global-business-climate-survey/,Organic Social,41
/public/events/joinswedensummit2025/seminars,Direct,41
/sv/insikter/globala-analyser/tjansteexport/,Organic Social,40
/sv/insikter/globala-analyser/global-business-climate-survey/,Organic Search,40
/events/joinswedensummit2025/seminars,Referral,39
/forms/geo-insights/,Organic Social,39
/guider/exportguiden/frihandelsregler,Organic Search,38
/public/events/joinswedensummit2025/seminars,Organic Search,38
/expand-globally/geopolitical-advisory/geo-insights/,Organic Social,37
/insights/reports/business-climate-surveys/saudi-arabia-business-climate-survey-2025/,Organic Social,37
/public/events/db78b65620/pages/cd832f9720,Direct,36
/sv/expandera-globalt/sme/,Paid Search,36
/sv/insikter/globala-analyser/globala-ekonomiska-utsikter/,Referral,36
/events/ec0b9280fe,Direct,35
/insights/reports/business-climate-surveys/mainland-china-business-climate-survey-2025/,Organic Search,35
/sv/insikter/globala-analyser/tjansteexport/,Organic Search,35
/insights/reports/executive-global-insights/charting-new-waters/,Organic Search,34
/insights/global-analysis/global-business-climate-survey/,Direct,34
/insights/reports/executive-global-insights/reinventing-the-future-of-mining/,Organic Search,34
/sv/insikter/rapporter/whitepapers--guides/kronan-priserna-och-geopolitiken/,Organic Search,34
/sv/om-oss/verksamhet-och-uppdrag/,Direct,33
/events/ec0b9280fe,Organic Social,32
/forms/global-analysis-reports-signup/,Organic Search,32
/forms/egi-reports-signup/,Direct,31
/insights/reports/executive-global-insights/uncovering-mining-titans/,Paid Search,31
/events/dbaf1c034d,Organic Social,30
/guider/frihandelsguiden,Paid Search,30
/guider/frihandelsguiden,Unassigned,30
/insights/calendar/2025/sme-study-trip-to-india/,Organic Search,30
/contact/thank-you-page-makets-form/,Direct,29
/forms/geo-insights/,Direct,29
/insights/calendar/2025/sme-study-trip-to-southeast-asia/,Organic Search,29
/sv/insikter/rapporter/whitepapers--guides/konsten-att-lyckas-i-en-forandrad-varld/,Direct,29
/public/events/joinswedensummit2025/seminars,Referral,28
/guider/exportguiden/blanketter-och-formular,Paid Search,28
/guider/frihandelsguiden/leverantorsdeklarationer,Organic Search,28
/insights/reports/executive-global-insights/capturing-the-nuclear-revival/,Organic Search,28
/insights/reports/whitepapers--guides/sweden--india----a-business-match-worth-experiencing/,Organic Search,28
/forms/contact-form/,Cross-network,28
/insights/reports/executive-global-insights/capturing-the-nuclear-revival/,Organic Social,27
/sv/insikter/rapporter/whitepapers--guides/sa-gor-du-affarer-med-nato/,Organic Search,27
/sv/om-oss/verksamhet-och-uppdrag/,Paid Search,27
/insights/reports/executive-global-insights/shaping-the-future-of-road-freight/,Referral,26
/insights/calendar/2025/sme-study-trip-to-india/,Direct,26
/insights/reports/executive-global-insights/africas-new-green-horizon/,Organic Search,26
/insights/reports/executive-global-insights/navigating-supply-chain-complexities/,Organic Search,26
/industries/transport/,Organic Search,26
/invest-in-sweden/start-a-company-in-sweden/,Unassigned,26
/sv/insikter/globala-analyser/global-exportanalys/,Organic Social,26
/sv/insikter/globala-analyser/leverantorsnatverk/,Organic Search,26
/events/ebcdc8d193,Direct,25
/forms/contact-form/,Organic Social,25
/guider/exportguiden/frihandelsregler/leverantorsdeklaration,Direct,25
/insights/reports/business-climate-surveys/india-business-climate-survey-2025/,Organic Search,25
/insights/reports/executive-global-insights/the-rise-of-brics/,Organic Search,25
/insights/reports/executive-global-insights/uncovering-mining-titans/,Direct,25
/insights/global-analysis/global-economic-outlook/,Organic Social,24
/insights/global-analysis/global-exports/,Direct,24
/public/events/df99a6f61e/pages/ff76e0e50e,Direct,24
/sv/om-oss/verksamhet-och-uppdrag/,Referral,23
/insights/reports/business-climate-surveys/canada-business-climate-survey-20253/,Organic Search,23
/insights/reports/business-climate-surveys/germany-business-climate-survey-2025/,Organic Search,23
/insights/reports/executive-global-insights/DEI/,Direct,23
/insights/reports/executive-global-insights/charting-new-waters/,Direct,23
/public/events/db78b65620/pages/cd832f9720,Referral,23
/sv/kontakt/kontor-i-sverige/,Referral,23
/contact/contact-business-sweden/,Direct,23
/events/ebcdc8d193,Organic Search,22
/expand-globally/markets/europe/ukraine/,Organic Search,22
/forms/global-analysis-reports-signup/,Organic Social,22
/insights/reports/executive-global-insights/navigating-europes-electrification-future/,Email,22
/insights/reports/executive-global-insights/navigating-supply-chain-complexities/,Email,22
/sv/insikter/rapporter/executive-global-insights/gruvjattarna-bakom-kulisserna/,Organic Search,22
/insights/calendar/2025/focus-asia---sme-study-trip-to-japan-and-korea/,Organic Search,21
/insights/reports/business-climate-surveys/germany-business-climate-survey-2024/,Organic Search,21
/insights/reports/executive-global-insights/DEI/,Organic Social,21
/insights/reports/whitepapers--guides/growth-ahead-in-the-philippines/,Organic Search,21
/contact/offices-in-sweden/,Direct,20
/guider/frihandelsguiden/,Direct,20
/insights/global-analysis/export-of-services/,Organic Social,20
/insights/reports/business-climate-surveys/china-business-climate-survey-2024/,Organic Search,20
/insights/reports/business-climate-surveys/the-netherlands-business-climate-survey-2025/,Organic Search,20
/sv/insikter/globala-analyser/exportchefsindex/,Paid Search,20
/sv/expandera-globalt/marknader/nord-och-sydamerika/usa/,Organic Search,19
/insights/reports/whitepapers--guides/the-swedish-life-science-sector-overview/,Direct,19
/insights/reports/whitepapers--guides/unlocking-opportunities-in-zimbabwes-mining-sector/,Organic Search,19
/sv/expandera-globalt/kontakta-en-radgivare/,Referral,19
/insights/reports/business-climate-surveys/finland-business-climate-survey-2025/,Direct,19
/sv/insikter/globala-analyser/global-exportanalys/,Paid Search,19
/insights/reports/whitepapers--guides/water-for-all-in-morocco/,Organic Search,18
/industries/digital-technologies/,Referral,18
/insights/global-analysis/export-managers-index/,Organic Social,18
/insights/global-analysis/fdi-overview/,Referral,18
/insights/reports/business-climate-surveys/india-business-climate-survey-2024/,Organic Search,18
/insights/reports/business-climate-surveys/indonesia-business-climate-survey2/,Organic Search,18
/insights/reports/business-climate-surveys/thailand-business-climate-survey-2025/,Direct,18
/insights/reports/executive-global-insights/entering-a-new-paradigm-in-european-security/,Organic Search,18
/insights/reports/executive-global-insights/uncovering-mining-titans/,Organic Search,18
/insights/reports/whitepapers--guides/explore-opportunities-in-morocco-a-market-for-swedish-business-growth/,Organic Social,18
/expand-globally/geopolitical-advisory/geo-insights/,Organic Search,18
/sv/expandera-globalt/geopolitisk-radgivning/geo-insights/,Direct,18
/sv/kontakt/tack-for-ditt-meddelande/,Direct,18
/contact/contact-business-sweden/,Referral,17
/events/ebcdc8d193,Organic Social,17
/forms/geo-insights/,Organic Search,17
/insights/global-analysis/export-managers-index/,Referral,17
/insights/reports/business-climate-surveys/hong-kong-sar-business-climate-survey-2025/,Organic Search,17
/insights/reports/business-climate-surveys/taiwan-business-climate-survey-2025/,Organic Search,17
/insights/reports/executive-global-insights/shaping-the-future-of-road-freight/,Organic Search,17
/insights/reports/executive-global-insights/the-semiconductor-imperative/,Organic Search,17
/insights/reports/whitepapers--guides/chinas-overcapacity-problem-what-swedish-companies-need-to-know/,Organic Search,17
/insights/reports/whitepapers--guides/growth-ahead-in-the-philippines/,Organic Social,17
/sv/expandera-globalt/marknader/nord-och-sydamerika/,Organic Search,17
/sv/insikter/globala-analyser/exportchefsindex/,Referral,17
/sv/insikter/globala-analyser/globala-direktinvesteringar/,Direct,17
/insights/reports/business-climate-surveys/malaysia-business-climate-survey-2025/,Organic Search,16
/contact/thank-you-page-makets-form/,Referral,16
/guider/skeppningshandboken,Direct,16
/insights/reports/business-climate-surveys/chile-business-climate-survey-2025/,Organic Social,16
/insights/reports/business-climate-surveys/denmark-business-climate-survey-2025/,Direct,16
/about-us/sustainability/,Direct,16
/insights/reports/business-climate-surveys/philippines-business-climate-survey-20252/,Direct,16
/insights/reports/business-climate-surveys/poland-business-climate-survey-2025/,Direct,16
/insights/reports/executive-global-insights/winning-public-tenders/,Email,16
/insights/reports/whitepapers--guides/growth-beyond-the-nordics-how-swedish-acquirers-win-in-cross-border-ma/,Organic Search,16
/insights/reports/whitepapers--guides/swedens-nuclear-future--mapping-the-value-chain/,Referral,16
/public/events/be7e9efa8b/pages/dca1ec494c,Direct,16
/sv/expandera-globalt/marknader/asien-och-oceanien/kina/,Paid Search,16
/sv/expandera-globalt/sme/,Paid Social,16
/sv/insikter/rapporter/business-climate-surveys/kina-business-climate-survey-2024/,Organic Search,16
/sv/om-oss/media/pressbilder/,Organic Search,16
/expand-globally/markets/mea/united-arab-emirates/,Organic Search,15
/events/joinswedensummit2025/participants,Organic Search,15
/guider/frihandelsguiden/leverantorsdeklarationer/mall-for-langtidsleverantorsdeklaration,Organic Search,15
/guider/frihandelsguiden/nyheter-och-senaste-andringar,Organic Search,15
/industries/digital-technologies/,Direct,15
/industries/digital-technologies/invest-in-digital-technologies/,Paid Search,15
/insights/reports/business-climate-surveys/mexico-business-climate-survey-2024/,Organic Search,15
/insights/reports/business-climate-surveys/mexico-business-climate-survey-2025/,Organic Search,15
/insights/reports/business-climate-surveys/spain-business-climate-survey-2024/,Organic Search,15
/insights/reports/business-climate-surveys/thailand-business-climate-survey-2025/,Organic Search,15
/insights/reports/whitepapers--guides/seizing-opportunities-in-angola/,Organic Search,15
/insights/reports/whitepapers--guides/sustainability-opportunities-in-german-key-industries/,Organic Search,15
/insights/reports/whitepapers--guides/the-swedish-life-science-sector-overview/,Referral,15
/invest-in-sweden/start-a-company-in-sweden/,Organic Social,15
/sv/expandera-globalt/sme/,Direct,15
/sv/insikter/rapporter/executive-global-insights/globala-leveranskedjor-i-forandring/,Organic Search,15
/sv/insikter/rapporter/executive-global-insights/karnkraftens-nya-horisont/,Organic Search,15
/sv/insikter/rapporter/whitepapers--guides/sverige--indien---en-affarsmatch-vard-att-uppleva/,Organic Search,15
/insights/reports/executive-global-insights/Inside-the-green-policy-landscape/,Organic Search,14
/forms/contact-form2/,Organic Search,14
/insights/global-analysis/export-of-services/,Organic Search,14
/insights/global-analysis/global-economic-outlook/,Referral,14
/insights/reports/business-climate-surveys/australia-business-climate-survey-2025/,Organic Search,14
/insights/reports/business-climate-surveys/indonesia-business-climate-survey-2024/,Organic Search,14
/insights/reports/business-climate-surveys/japan-business-climate-survey-2024/,Organic Search,14
/insights/reports/business-climate-surveys/saudi-arabia-business-climate-survey-2025/,Organic Search,14
/insights/reports/business-climate-surveys/south-africa-business-climate-survey-20252/,Organic Search,14
/insights/reports/business-climate-surveys/thailand-business-climate-survey-2024/,Organic Search,14
/contact/offices-in-sweden/,Referral,14
/sv/brand--design-guidelines/logotype/,Organic Search,14
/sv/insikter/globala-analyser/global-exportanalys/,Direct,14
/sv/insikter/globala-analyser/globala-direktinvesteringar/,Organic Social,14
/sv/insikter/globala-analyser/tjansteexport/,Direct,14
/sv/insikter/rapporter/executive-global-insights/brics-pa-uppgang/,Organic Search,14
/sv/insikter/rapporter/executive-global-insights/vagen-till-resiliens-for-halvledare/,Organic Search,14
/insights/reports/business-climate-surveys/mainland-china-business-climate-survey-2025/,Organic Social,13
/sv/insikter/rapporter/business-climate-surveys/frankrike-business-climate-survey-2024/,Organic Search,13
/events/ebcdc8d193,Referral,13
/forms/US-trade-policy-shifts-signup/,Organic Social,13
/guider/exportguiden/frihandelsregler/leverantorsdeklaration,Paid Search,13
/industries/transport/,Direct,13
/insights/blogs/us-trade-policy-shifts/u.s.-trade-shifts-steel-aluminium-tariffs-eu-response,Organic Search,13
/insights/reports/business-climate-surveys/canada-business-climate-survey-20253/,Organic Social,13
/insights/reports/business-climate-surveys/france-business-climate-survey-2024/,Organic Search,13
/insights/reports/business-climate-surveys/germany-business-climate-survey-2025/,Direct,13
/contact/offices-in-sweden/,Paid Search,13
/insights/reports/business-climate-surveys/spain-business-climate-survey-2025/,Organic Search,13
/insights/reports/business-climate-surveys/thailand-business-climate-survey-2025/,Referral,13
/insights/reports/business-climate-surveys/the-united-states-business-climate-survey-2024/,Organic Search,13
/insights/reports/business-climate-surveys/uae-business-climate-survey-2025/,Organic Search,13
/insights/reports/executive-global-insights/DEI/,Referral,13
/sv/expandera-globalt/marknader/nord-och-sydamerika/brasilien/,Organic Search,13
/sv/insikter/globala-analyser/globala-direktinvesteringar/,Referral,13
/contact/thank-you-page-makets-form/,Paid Search,13
/events/joinswedensummit2025/participants,Referral,12
/guider/exportguiden/tradecompliance/tradecompliancesanktioner,Organic Search,12
/guider/skeppningshandboken/landinformation/nordamerika-och-sydamerika/usa/,Direct,12
/insights/blogs/us-trade-policy-shifts/what-does-the-us-eu-trade-deal-mean-for-swedish-companies/,Organic Search,12
/insights/calendar/2025/hong-kong-smart-and-circular-citiy-delegation/,Organic Search,12
/insights/global-analysis/fdi-overview/,Paid Search,12
/insights/global-analysis/global-business-climate-survey/,Paid Search,12
/insights/reports/business-climate-surveys/chile-business-climate-survey-2025/,Organic Search,12
/insights/reports/business-climate-surveys/kenya-business-climate-survey-2025/,Organic Search,12
/insights/reports/business-climate-surveys/turkiye-business-climate-survey-2025/,Organic Social,12
/insights/reports/executive-global-insights/dei/,Organic Social,12
/insights/reports/whitepapers--guides/unlocking-opportunities-in-zimbabwes-mining-sector/,Organic Social,12
/public/events/sweden-at-cop30/seminars/af5f1cf280,Referral,12
/sv/industrier/industrials/,Organic Search,12
/sv/insikter/globala-analyser/global-exportanalys/,Referral,12
/sv/insikter/globala-analyser/leverantorsnatverk/,Organic Social,12
/sv/insikter/rapporter/whitepapers--guides/sverige--indien---en-affarsmatch-vard-att-uppleva/,Direct,12
/sv/expandera-globalt/marknader/mellanostern-och--afrika/,Organic Search,11
/events/ec0b9280fe,Organic Search,11
/forms/global-analysis-reports-signup/,Direct,11
/insights/geo-insights/,Direct,11
/insights/reports/business-climate-surveys/business-climate-survey-south-korea-2025/,Organic Search,11
/insights/reports/business-climate-surveys/canada-business-climate-survey-20253/,Direct,11
/insights/reports/business-climate-surveys/japan-business-climate-survey-2025/,Organic Search,11
/insights/reports/business-climate-surveys/norway-business-climate-survey-2024/,Organic Search,11
/insights/reports/business-climate-surveys/saudi-arabia-business-climate-survey-2025/,Direct,11
/insights/reports/business-climate-surveys/turkiye-business-climate-survey-2025/,Organic Search,11
/insights/reports/business-climate-surveys/ukraine-business-climate--survey-2025/,Organic Search,11
/insights/reports/business-climate-surveys/vietnam-business-climate-survey-2025/,Organic Search,11
/insights/reports/executive-global-insights/navigating-supply-chain-complexities/,Paid Search,11
/insights/reports/whitepapers--guides/explore-opportunities-in-morocco-a-market-for-swedish-business-growth/,Direct,11
/public/events/be7e9efa8b/pages/dca1ec494c,Referral,11
/sv/expandera-globalt/marknader/asien-och-oceanien/japan/,Organic Search,11
/about-us/sustainability/,Referral,11
/sv/insikter/rapporter/business-climate-surveys/japan-business-climate-survey-2025/,Organic Search,11
/sv/om-oss/hallbarhet/,Direct,11
/forms/contact-form2/,Referral,10
/sv/insikter/rapporter/whitepapers--guides/kronan-och-svenska-exporten/,Organic Search,10
/events/dbaf1c034d,Organic Search,10
/expand-globally/markets/asia-pacific/taiwan/konsulara-tjanster-for-svenska-medborgare/,Organic Search,10
/about-us/media/press-images/,Organic Search,10
/forms/egi-reports-signup/,Referral,10
/guider/frihandelsguiden/leverantorsdeklarationer,Direct,10
/guider/frihandelsguiden/leverantorsdeklarationer/mall-for-langtidsleverantorsdeklaration,Direct,10
/industries/advanced-manufacturing/,Referral,10
/insights/reports/business-climate-surveys/philippines-business-climate-survey-20252/,Organic Social,10
/insights/reports/business-climate-surveys/the-united-arab-emirates-business-climate-survey-2024/,Organic Search,10
/insights/reports/business-climate-surveys/turkiye-business-climate-survey-2024/,Organic Search,10
/insights/reports/business-climate-surveys/ukraine-business-climate--survey-2025/,Organic Social,10
/insights/reports/executive-global-insights/charting-new-waters/,Organic Social,10
/insights/reports/executive-global-insights/navigating-europes-electrification-future/,Organic Social,10
/insights/reports/executive-global-insights/unlocking-the-global-green-transition/,Organic Search,10
/insights/reports/whitepapers--guides/navigating-corruption-in-kenya/,Organic Search,10
/insights/reports/whitepapers--guides/unlocking-opportunities-in-zimbabwes-mining-sector/,Referral,10
/public/events/be7e9efa8b/pages/dca1ec494c,Organic Search,10
/sv/expandera-globalt/delegationerochmassor/stark-din-internationella-positionering/,Organic Search,10
/sv/expandera-globalt/marknader/asien-och-oceanien/,Paid Search,10
/sv/industrier/consumer-goods/,Organic Search,10
/sv/insikter/globala-analyser/globala-ekonomiska-utsikter/,Paid Search,10
/sv/insikter/rapporter/executive-global-insights/ny-konkurrensvag-i-globala-syd/,Organic Search,10
/sv/insikter/rapporter/executive-global-insights/vagen-framat-for-europas-elektrifiering/,Organic Search,10
/sv/insikter/rapporter/whitepapers--guides/i-korselden-mellan-usa-och-kina/,Organic Search,10
/about-us/sustainability/,Paid Search,10
/insights/reports/business-climate-surveys/philippines-business-climate-survey-20252/,Referral,9
/sv/insikter/globala-analyser/global-exportanalys/,Unassigned,9
/expand-globally/markets/asia-pacific/australia/,Organic Search,9
/expand-globally/markets/europe/norway/,Organic Search,9
/expand-globally/sme/,Direct,9
/expand-globally/sme/,Organic Search,9
/guider/exportguiden/tullar-och-dokument/export-till-lander-utanfor-eu/dokumentkrav,Paid Search,9
/industries/energy/,Direct,9
/industries/life-science/,Direct,9
/industries/life-science/invest-life-science/,Organic Search,9
/insights/global-analysis/export-managers-index/,Unassigned,9
/insights/global-analysis/global-business-climate-survey/,Unassigned,9
/insights/reports/business-climate-surveys/denmark-business-climate-survey-2025/,Organic Social,9
/events/ec0b9280fe,Email,9
/insights/reports/business-climate-surveys/poland-business-climate-survey-2025/,Organic Search,9
/insights/reports/executive-global-insights/navigating-europes-electrification-future/,Organic Search,9
/insights/reports/executive-global-insights/shaping-the-future-of-road-freight/,Direct,9
/insights/reports/executive-global-insights/shaping-the-future-of-road-freight/,Paid Search,9
/insights/reports/whitepapers--guides/explore-opportunities-in-morocco-a-market-for-swedish-business-growth/,Organic Search,9
/insights/reports/whitepapers--guides/green-opportunities-in-greece/,Organic Social,9
/insights/reports/whitepapers--guides/portugals-energy-and-green-transition/,Organic Search,9
/insights/reports/whitepapers--guides/sharp-growth-for-the-nordic-data-centre-market/,Organic Search,9
/insights/reports/whitepapers--guides/sustainability-and-conscious-consumerism-in-singapore/,Organic Search,9
/sv/brand--design-guidelines/logotype/,Direct,9
/sv/expandera-globalt/marknader/europa/tyskland/,Organic Search,9
/sv/expandera-globalt/marknader/europa/ukraina/,Organic Search,9
/sv/forms/kontaktformular2/,Organic Search,9
/sv/insikter/globala-analyser/global-exportanalys-tjanster/,Organic Search,9
/expand-globally/geopolitical-advisory/geo-insights/,Paid Search,9
/industries/energy/sweden-the-most-scalable-battery-ecosystem-in-europe/,Organic Search,8
/sv/om-oss/media/pressreleaser/pressreleaser/2025/future-minerals-forum-2025/,Referral,8
/expand-globally/markets/americas/usa/,Organic Search,8
/forms/global-analysis-reports-signup/,Email,8
/guider/frihandelsguiden,Referral,8
/guider/frihandelsguiden/leverantorsdeklarationer,Email,8
/guider/frihandelsguiden/leverantorsdeklarationer/mall-for-langtidsleverantorsdeklaration,Email,8
/events/ec0b9280fe,Referral,8
/industries/life-science/,Organic Search,8
/insights/global-analysis/fdi-overview,Organic Social,8
/insights/global-analysis/fdi-overview/,Direct,8
/insights/global-analysis/global-exports/,Referral,8
/insights/reports/business-climate-surveys/brazil-business-climate-survey-2025/,Organic Search,8
/insights/reports/business-climate-surveys/business-climate-survey-south-korea-2025/,Organic Social,8
/insights/reports/business-climate-surveys/denmark-business-climate-survey-2023/,Organic Search,8
/insights/reports/business-climate-surveys/finland-business-climate-survey-2025/,Organic Search,8
/insights/reports/business-climate-surveys/italy-business-climate-survey-2024/,Organic Search,8
/insights/reports/business-climate-surveys/peru-business-climate-survey-2025/,Organic Search,8
/insights/reports/business-climate-surveys/peru-business-climate-survey-2025/,Organic Social,8
/insights/reports/business-climate-surveys/singapore-business-climate-survey-2025/,Organic Search,8
/insights/reports/business-climate-surveys/spain-business-climate-survey-2025/,Referral,8
/insights/reports/business-climate-surveys/the-united-kingdom-business-climate-survey-2024/,Organic Search,8
/insights/reports/business-climate-surveys/turkiye-business-climate-survey-2025/,Direct,8
/insights/reports/business-climate-surveys/turkiye-business-climate-survey-2025/,Paid Other,8
/insights/reports/executive-global-insights/pioneering-climate-adaptation-in-healthcare/,Paid Search,8
/insights/reports/executive-global-insights/reinventing-the-future-of-mining/,Direct,8
/insights/reports/executive-global-insights/reinventing-the-future-of-mining/,Paid Search,8
/insights/reports/whitepapers--guides/growth-beyond-the-nordics-how-swedish-acquirers-win-in-cross-border-ma/,Organic Social,8
/insights/reports/whitepapers--guides/power-to-africa/,Organic Search,8
/insights/reports/whitepapers--guides/unlocking-opportunities-singapore-business-landscape-study/,Organic Search,8
/public/events/joinswedensummit2025/seminars,Organic Social,8
/sv/brand--design-guidelines/logotype/,Referral,8
/sv/expandera-globalt/marknader/asien-och-oceanien/,Direct,8
/sv/expandera-globalt/marknader/asien-och-oceanien/,Organic Search,8
/sv/expandera-globalt/marknader/europa/norge/,Organic Search,8
/sv/expandera-globalt/marknader/mellanostern-och--afrika/forenade-arabemiraten/,Organic Search,8
/sv/industrier/energy/,Organic Search,8
/sv/insikter/rapporter/executive-global-insights/paradigmskiftet-i-europas-sakerhet/,Organic Search,8
/sv/insikter/rapporter/whitepapers--guides/korruptionens-paverkan-i-kenya/,Organic Search,8
/sv/insikter/rapporter/whitepapers--guides/spaniens-ernergisektor-och-grona-omstallning/,Organic Search,8
/sv/kontakt/kontakta-business-sweden/,Referral,8
/sv/om-oss/media/,Organic Search,8
/expand-globally/delegationsandtrade-fairs/strengthen-your-international-positioning/,Organic Search,8
/sv/insikter/globala-analyser/global-exportanalys-tjanster/,Organic Social,7
/sv/kontakt/tack-for-ditt-meddelande/,Referral,7
/events/ac139d8139,Organic Social,7
/events/df99a6f61e/pages/170675,Referral,7
/events/ff7a9bedc8/pages/213523,Direct,7
/expand-globally/markets/asia-pacific/china/,Organic Search,7
/forms/contact-form/,Unassigned,7
/guider/e-handelsguiden/landinformation/usa/business-swedens-rad,Organic Search,7
/guider/exportguiden/frihandelsregler/leverantorsdeklaration,Referral,7
/guider/frihandelsguiden/icke-preferentiellt-ursprung,Referral,7
/guider/frihandelsguiden/nyheter-och-senaste-andringar,Direct,7
/guider/frihandelsguiden/nyheter-och-senaste-andringar,Referral,7
/guider/skeppningshandboken,Paid Search,7
/industries/digital-technologies/,Paid Search,7
/industries/energy/,Referral,7
/insights/calendar/2025/focus-asia---sme-study-trip-to-japan-and-korea/,Referral,7
/insights/calendar/2025/hong-kong-smart-and-circular-citiy-delegation/,Direct,7
/insights/reports/business-climate-surveys/Morocco-business-climate-survey-2025/,Organic Search,7
/insights/reports/business-climate-surveys/austria-business-climate-survey-2025/,Organic Search,7
/insights/reports/business-climate-surveys/canada-business-climate-survey-2025/,Organic Search,7
/insights/reports/business-climate-surveys/colombia-business-climate-survey-2025/,Direct,7
/insights/reports/business-climate-surveys/colombia-business-climate-survey-2025/,Organic Search,7
/insights/reports/business-climate-surveys/finland-business-climate-survey-2025/,Organic Social,7
/insights/reports/business-climate-surveys/germany-business-climate-survey-2025,Direct,7
/insights/reports/business-climate-surveys/germany-business-climate-survey-2025/,Referral,7
